ellipsis_type,mt_service,num_metric,num_score
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,4
arg,google,grammaticality,2
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,4
arg,deepl,grammaticality,2
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,1
arg,google,grammaticality,3
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,2
arg,google,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,1
arg,bing,grammaticality,3
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,4
arg,deepl,grammaticality,2
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,1
vpel,bing,grammaticality,3
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,1
vpel,deepl,grammaticality,3
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,1
vpel,deepl,grammaticality,3
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,google,meaning,1
vpel,google,grammaticality,3
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,3
vpel,deepl,grammaticality,1
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,3
vpel,google,grammaticality,1
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,2
vpel,google,grammaticality,4
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,google,meaning,4
vpel,google,grammaticality,2
vpel,google,meaning,5
vpel,google,grammaticality,5
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,3
vpel,bing,grammaticality,1
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,2
vpel,bing,grammaticality,4
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,bing,meaning,4
vpel,bing,grammaticality,2
vpel,bing,meaning,5
vpel,bing,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,3
vpel,deepl,grammaticality,1
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,4
vpel,deepl,grammaticality,2
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,2
vpel,deepl,grammaticality,4
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
vpel,deepl,meaning,5
vpel,deepl,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,4
sluice,google,grammaticality,2
sluice,google,meaning,2
sluice,google,grammaticality,4
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,2
sluice,google,grammaticality,4
sluice,google,meaning,4
sluice,google,grammaticality,2
sluice,google,meaning,3
sluice,google,grammaticality,1
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,2
sluice,google,grammaticality,4
sluice,google,meaning,2
sluice,google,grammaticality,4
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,1
sluice,bing,grammaticality,3
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,3
sluice,bing,grammaticality,1
sluice,bing,meaning,3
sluice,bing,grammaticality,1
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,1
sluice,deepl,grammaticality,3
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,4
sluice,deepl,grammaticality,2
sluice,deepl,meaning,3
sluice,deepl,grammaticality,1
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,4
sluice,google,grammaticality,2
sluice,bing,meaning,3
sluice,bing,grammaticality,1
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,3
sluice,bing,grammaticality,1
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,4
sluice,bing,grammaticality,2
sluice,bing,meaning,5
sluice,bing,grammaticality,5
sluice,bing,meaning,2
sluice,bing,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,4
sluice,deepl,grammaticality,2
sluice,deepl,meaning,4
sluice,deepl,grammaticality,2
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,5
sluice,deepl,grammaticality,5
sluice,deepl,meaning,2
sluice,deepl,grammaticality,4
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
sluice,google,meaning,5
sluice,google,grammaticality,5
